FID,APA Tier Type,GLHER Primary Ref,GLHER Resource ID,area_type,Description,Shape__Area,Shape__Length
216,Archaeological Priority Area - Tier III,76789,4ec65a72-2434-440c-a502-6f4468f71b99, ,Tower Hamlets APA 3.2: Lea Valley  Summary and Definition  The Lea Valley Archaeological Priority Area runs along the western banks of the River Lea and its various channels from the borough border with Hackney almost to its mouth at the Thames.  Extensi,456973.034645081,4114.08411445499
217,Archaeological Priority Area - Tier III,76789,4ec65a72-2434-440c-a502-6f4468f71b99, ,Tower Hamlets APA 3.2: Lea Valley  Summary and Definition  The Lea Valley Archaeological Priority Area runs along the western banks of the River Lea and its various channels from the borough border with Hackney almost to its mouth at the Thames.  Extensi,1799304.2085495,9833.60820892017
218,Archaeological Priority Area - Tier I,76690,446809ef-2c7a-4d63-8cbc-0c16ca61d249, ,"Summary and Definition  	The APA covers the approximate location of the Ravensbury Saxon cemetery, which was excavated in various stages in the late 19th and early 20th centuries.  The cemetery was spread across an area that is roughly bordered by the Tr",107899.600708008,1521.59911851026
219,Archaeological Priority Area,77886,c3433ecd-41bd-484f-af12-60467a602110, ,"Recommendation  Boundary of present Archaeological Priority Area should be altered.  Remove the south-eastern beyond the rear gardens of properties fronting Macoma Road.  Add area south of western end of area to include properties fronting Tuam Road., Th",25090.0988616943,785.321864068408
220,Archaeological Priority Area,76126,04d7f9e6-9f0f-4467-bb73-bd00ac2cfee2, ,Medieval estate and possible manor house.,15481.715927124,515.642424627842
221,Archaeological Priority Area,78087,d60ee045-f412-46c7-add7-4913e389ed15, ,"There are limited records both within the APA itself and the surrounding area for archaeological remains. At St Mary’s Vicarage outside of the APA to the north-west, artefacts from the late Mesolithic to early medieval periods were recorded during the",122645.018569946,2010.89413171539
222,Archaeological Priority Area - Tier II,76742,491267b7-f825-45cc-9f38-9f314a4636fa, ,"8.1	This Archaeological Priority Area is situated within the Crayford Marsh, to the west of the River Darent. The underlying geology is chalk, overlain with gravel and alluvial deposits. Possible palaeochannels have been recorded from the area as well as",355573.775390625,2694.28836112337
223,Archaeological Priority Area - Tier II,77119,71cd3648-a2e5-4138-b24a-fad8c598c56c, ,"Summary and Definition  The Archaeological Priority Area covers the 18th century Listed Claybury Hall and associated parkland, designed by Humphry Repton. The 19th century asylum is excluded from the APA. The APA is bounded on the north by the B173 Manor",1037620.75327301,6020.17401427879
224,Archaeological Priority Area - Tier II,77119,71cd3648-a2e5-4138-b24a-fad8c598c56c, ,"Summary and Definition  The Archaeological Priority Area covers the 18th century Listed Claybury Hall and associated parkland, designed by Humphry Repton. The 19th century asylum is excluded from the APA. The APA is bounded on the north by the B173 Manor",2.51776885986328,8.49085034975116
225,Archaeological Priority Area - Tier I,77331,86ac4f27-1264-4d8c-8a3a-383d1733c3d2, ,"Summary and Definition  The Archaeological Priority Area covers the former nunnery of St Mary de Fonte. This is one of three religious houses founded in the medieval period and which lay adjacent to each other, formerly grouped together into one APA. Thi",64015.052116394,1066.26596209673
226,Archaeological Priority Area,77279,80f847f3-dbb2-4cc3-a005-47b15d7b1917, ,"In the Domesday account for Deptford (Greenwich), the manor was owned by Gilbert de Magimot, who is said to have built a castle at Deptford.  The ‘stony foundations’ recorded on Deptford Strand in the 17th century may have been part of this building.",858395.601013184,4270.00493524148
227,Archaeological Priority Area - Tier II,77182,77879217-406d-42f3-859d-5ecf09a209e5, ,Hackney APA 2.9 Roman Road (London to Great Dunmow)  Summary and Definition  The Archaeological Priority Area covers a zone centred on the Roman road which connected London and Great Dunmow in Essex. The APA has been classified as Tier 2 because it cover,327309.069213867,4754.94133634312
228,Archaeological Priority Area - Tier II,77182,77879217-406d-42f3-859d-5ecf09a209e5, ,Hackney APA 2.9 Roman Road (London to Great Dunmow)  Summary and Definition  The Archaeological Priority Area covers a zone centred on the Roman road which connected London and Great Dunmow in Essex. The APA has been classified as Tier 2 because it cover,468959.76184845,8556.60197478266
229,Archaeological Priority Area - Tier II,76575,36d334f7-3da5-411a-a462-64fd3adce3ca, ,"London is a polycentric city made up of villages and the historic village of Dulwich once formed one of these rural hubs. The Archaeological Priority Area (APA) is based upon the village core of Dulwich, and extends southwards to Dulwich Old College and",178043.779380798,3056.23591441715
230,Archaeological Priority Area - Tier II,77197,78f72ad0-f89e-4652-9268-758489388cb8, ,Hackney APA 2.14 Shacklewell  Summary and Definition  The Archaeological Priority Area covers the historic core of Shacklewell and has the potential to contain archaeological remains relating to the medieval settlement and its associated manor house. The,13912.8871231079,737.604763223297
231,Archaeological Priority Area - Tier II,76736,4893747a-aad2-4319-8977-dc20faf62588, ,Summary and Definition  The Archaeological Priority Area covers an area of residential housing in Redbridge centred on Evanston Gardens and defined by the A12 to the north and by Wanstead Lane to the south. The APA is classified as Tier 2 because it cove,21536.3573684692,609.845451445832
232,Archaeological Priority Area - Tier III,77960,c97fc88b-d9d3-443b-aa8e-1a55d000a8e4, ,"Summary and Definition    The Archaeological Priority Area covers Walthamstow Forest, Gilbert’s Slade and the Hollow Pond area at Whipp’s Cross, all of which are surviving portions of Epping Forest.  Epping Forest covers a long north-south ridge, the",22186.0369186401,700.411285843067
233,Archaeological Priority Area - Tier III,77960,c97fc88b-d9d3-443b-aa8e-1a55d000a8e4, ,"Summary and Definition    The Archaeological Priority Area covers Walthamstow Forest, Gilbert’s Slade and the Hollow Pond area at Whipp’s Cross, all of which are surviving portions of Epping Forest.  Epping Forest covers a long north-south ridge, the",428113.472312927,3479.02361785383
234,Archaeological Priority Area - Tier III,77960,c97fc88b-d9d3-443b-aa8e-1a55d000a8e4, ,"Summary and Definition    The Archaeological Priority Area covers Walthamstow Forest, Gilbert’s Slade and the Hollow Pond area at Whipp’s Cross, all of which are surviving portions of Epping Forest.  Epping Forest covers a long north-south ridge, the",1249744.74350739,6687.64052785186
235,Archaeological Priority Area - Tier II,76161,07bdce1c-a692-419e-abd4-4127ca4ba5fc, ,Hackney APA 2.6 Springfield Park and Clapton Common    Summary and Definition  The Archaeological Priority Area of Springfield Park and Clapton Common is located to the east of Stamford Hill immediately adjacent to the A107. The APA extends east from Cla,222261.313667297,3320.00454855184
236,Archaeological Priority Area - Tier II,77468,95d5c52c-ae2b-454b-92e4-811c732b30fe, ,Summary and definition     7.16.1 The Archaeological Priority Area covers the possible site of Willoughby Moated Manor.     7.16.2 The APA has been included at Tier 2 as it has the potential to contain medieval and postm,18452.8683547974,582.337467512099
237,Archaeological Priority Area,77816,bb48bd06-b9ba-4806-ac94-b60c1ffaabbb, ,"Moated site of Ealing Manor and medieval settlement. St Mary’s was first recorded in 1130. The old Rectory House (1529) stood to the north. Widely spaced prehistoric findspots and one Roman occur in the area – which extends west to Culmington Road, e",1232851.86619568,4553.69292964371
238,Archaeological Priority Area - Tier II,77540,9db1168e-446b-4a9e-816f-87c65d3999e2, ,"Tower Hamlets 2.19: Bow  Summary and Definition   The Bow Archaeological Priority Area covers the historic settlement and surrounds of Bromley-by-Bow, centring on Bow Road.  The Bow Archaeological Priority Area has been classified as Tier 2 as a historic",102064.599090576,1529.6191964703
239,Archaeological Priority Area - Tier I,77698,b027e1ab-6f1c-4098-ac9e-63d884e5efb1, ,"Summary and definition  6.1.1 The Archaeological Priority Area covers the northern section of Highgate Wood, which  contains the remains of a large Roman pottery works and several prehistoric earthworks.  6.1.2 The APA has ",59756.3184432983,1144.84763579998
240,Archaeological Priority Area,78229,e65f1952-105c-4409-be40-411dd947acbb, ,Medieval Village Centre and manor house.,78059.5895385742,1346.20378648333
241,Archaeological Priority Area - Tier II,76769,4c828ec5-fcf5-4eb5-804c-30b7a5746030, ,Summary and definition  The Archaeological Priority Area covers Ramsden School and its surrounding sports  fields and recreation areas. During the construction of the school in 1956 the remains  of an Iron Age farmstead we,90560.2328262329,1658.51968509547
242,Archaeological Priority Area,76784,4df473fc-d009-4146-9181-168fa4be01e4, ,"Recommendation  The area should be contracted to area described in the above text., The area of Greenwich borough situated between Brook Lane and rear of properties on the south side of Delme Crescent.  The area occupies a position about the 73m contour",11114.7750244141,502.302709546776
243,Archaeological Priority Area - Tier I,78435,fba34dee-e59d-4014-be42-37935e35fc9c, ,Hackney APA 1.1 Upper Clapton  Summary and Definition  	This Archaeological Priority Area covers an area of Upper Clapton to the east of Kingsland Road and to the south and west of the A107. The APA covers an area of Palaeolithic lithic working sites and,133169.184112549,2158.74625082221
244,Archaeological Priority Area,76836,5465c3cf-49d8-4956-b07f-159cdbdcab85, ,Medieval - Post Medieval settlement site.,122465.070518494,1383.78333723459
245,Archaeological Priority Area - Tier III,77385,8c1b88b8-ef4c-41d1-8e45-eb32e6b7229f, ,Summary and Definition  	The Battersea Channel was a prehistoric braided channel of the Thames that ran to the south of an island which separated it from the main course of the river.  It is thought to have run from Nine Elms to the area of Battersea Cre,3901055.77371979,13014.8904730726
246,Archaeological Priority Area - Tier II,209758,c2eee8ad-2c36-4d8d-a845-65990a4fa5d6, ," p  strong Summary and Definition  /strong  /p 

 p The River Crane Archaeological Priority Area covers the undeveloped stretch of the river valley through Hanworth and Whitton within Crane Park, and also includes adjacent developed land that was formerl",445326.0887146,6828.0590769497
247,Archaeological Priority Area,76624,3c26c4c2-8f07-4905-b9da-313c142a7f13, ,Medieval village centre and probably location of Brixi's stone.,20333.5184555054,713.960051079957
248,Archaeological Priority Area - Tier II,76566,361a9b11-53a3-4978-b02f-c9dd8c0667fc, ,Summary and Definition  	The Waddon Archaeological Priority Area covers an area between the borough boundary with Sutton and Roman Way.  It covers the location of the historic settlement of Waddon which was a relatively minor settlement on the road betwe,659308.273414612,3927.31478436532
249,Archaeological Priority Area,76165,07fc200c-399b-49cd-9408-87f7ff6b2959, ," p This APA consists of two sections: /p 

 p A) Totteridge The area probably originated in the Saxon period, based on its name, which can be denoted as Tata rsquo;s ridge (drier land ridge). Copped Hall was first mentioned in the 16th century and it has",284128.478973389,3170.46049816292
250,Archaeological Priority Area,76165,07fc200c-399b-49cd-9408-87f7ff6b2959, ," p This APA consists of two sections: /p 

 p A) Totteridge The area probably originated in the Saxon period, based on its name, which can be denoted as Tata rsquo;s ridge (drier land ridge). Copped Hall was first mentioned in the 16th century and it has",115136.308700562,2131.81161742063
251,Archaeological Priority Area,76461,2ab6b060-272d-4b08-a397-959b35ab5be6, ,"Leigham Court, Tudor manor house.",40891.7989959717,839.805903679615
252,Archaeological Priority Area - Tier II,77505,99a40d4f-55d5-4142-ba5d-c4a7b72f885f, ,Summary and definition  The  Archaeological  Priority  Area  covers  nine  post-medieval  burial  grounds  and  cemeteries within London Borough of Bromley. The APA has been classed as Tier 2 as  it contains 18th-and 19th-ce,7914.85662078857,516.596748555639
253,Archaeological Priority Area,78466,fec2daa9-d0e6-4afa-bb60-f9c9cc08e5a7, ,The site of Manor Farm which was post-medieval.,8393.10725402832,405.42372543613
254,Archaeological Priority Area,77178,774ea974-905a-49d1-b462-3db7771d62f5, ,Medieval - Early Post Medieval settlement site.,59367.2577819824,1058.47096041683
255,Archaeological Priority Area - Tier I,77015,661affb4-befa-4ce4-8361-4c98eacdebfa, ,"Tower Hamlets APA 1.2: Tower of London, St Mary Graces and Tower Hill  Summary and Definition  	The APA covers the World Heritage Site of the Tower of London and the preserved remains of St Mary Graces as well as its preceding plague cemetery and the wid",195789.587593079,2389.92453422543
256,Archaeological Priority Area,77820,bc1c1265-4b05-4ac2-942c-1850e8fffb1e, ,"There is considerable archaeological evidence for this area due to the extensive excavations that have taken place in relation to Heathrow Terminal 5 and mineral extraction. This APZ also includes the APAs of Harmondsworth, Harlington, West Bedfont and S",20205385.6893234,30375.4405173247
257,Archaeological Priority Area - Tier II,77028,6771e464-3df6-4517-adea-b793b66fa475, ,Summary and Definition  	The APA follows the course of the River Wandle from the borough boundary at Summerstown in the south to King George’s Park in the north.  Archaeological finds and features have been found along other stretches of the Wandle and,850943.050445557,6557.94157977998
258,Archaeological Priority Area,78038,d18618ea-4a09-4772-9117-a04540896723, ,"Recommendation  Boundary of present Archaeological Priority Area should be maintained., This archaeological area is prescribed by Herbert, Ripon and Eglinton Roads.  The site is situated on a northwest facing slope at the 60 and 65m contour level and jus",7732.60662841797,384.581328759989
259,Archaeological Priority Area,77158,75b5a9d8-5b95-4b45-b42a-9b068fd1af75, ,"There has been limited archaeological work within the APA itself. To the north-west of the APA, late Neolithic to late Bronze Age flints and possible Bronze Age pottery were found. To the south, but within Cranford Park, Bronze Age pits have been recorde",60624.0606613159,1443.94944147946
260,Archaeological Priority Area - Tier II,77199,797d967b-bb74-41ab-9461-da746eee7d6c, ,"Summary and Definition  The Archaeological Priority Area covers Newington Green and the houses around the south, east and west sides of the green. It lies on the northeast side of the Borough of Islington and is situated immediately to the south of the H",27657.961769104,784.043488477283
261,Archaeological Priority Area,76537,341b6b28-39ea-47eb-a22b-dcf3ee4221c1, ,A small Roman settlement adjoins the London-Lewes road close to the fording point across the River Pool.,32524.7288742065,959.615937565178
262,Archaeological Priority Area,76537,341b6b28-39ea-47eb-a22b-dcf3ee4221c1, ,A small Roman settlement adjoins the London-Lewes road close to the fording point across the River Pool.,23139.0222167969,791.603823617696
263,Archaeological Priority Area - Tier II,77759,b631e524-58c2-4487-bf39-5d9c061eb7a3, ,"Tower Hamlets APA 2.10: St Katharine’s Docks  Summary and Definition  	The APA covers the extent of the medieval hospital of St Katharine’s by the Tower along with the later St Katharine’s Docks which replaced it, as well as immediate surroundings",234540.24281311,2084.57719970013
264,Archaeological Priority Area,78245,e7d72b49-ebb8-4741-94df-a7cf46202336, ,Neolithic and 17th century plague pit.,83145.4133758545,1243.89293804934
265,Archaeological Priority Area - Tier II,76347,1d97c1a4-36fa-4309-99e1-2439af002108, ,Hackney APA 2.5 Kingsland Leper Hospital  Summary and Definition  This Archaeological Priority Area covers the site of the former Kingsland Leper Hospital bounded to the west of Kingsland Road (A10) and to the south of Ball’s Pond Road (A104). The APA,9430.9027557373,393.199003854621
266,Archaeological Priority Area - Tier II,77488,97b74080-9415-4b0f-8a5b-4688dac1107a, ,Summary and Definition  	The APA covers the core of the historic settlement of Battersea which was centred on Battersea Square.  It also covers an area of riverside between the southern end of Lombard Road and Albert Bridge Road.  A settlement is thought,805152.910705566,4522.97054144593
267,Archaeological Priority Area,76761,4bd9abc1-384f-4bb2-9df9-34812ced6f9a, ," p Friern Barnet seemed an unlikely area to settle, since there was dense woodland and heavy clay soil at Colney Hatch. It remained covered in wood and scrub until the early 19th century and was a rural area until World War I. However, an early medieval",162475.751060486,2313.31125010671
268,Archaeological Priority Area - Tier II,77374,8b546335-7568-40cc-abc9-edd8dea1ddc7, ,Summary and Definition  	The Ilford Gaol Archaeological Priority Area covers Gloucester Road and Worcester Road between Romford Road and the railway.  Ilford Gaol occupied this site during the 19th century.  It is classified as a Tier 2 APA due to it bei,13711.6397171021,471.226616061968
269,Archaeological Priority Area - Tier II,77520,9b370e7d-d47d-4745-8adb-e5ac0d4e826e, ,"Summary and Definition    This Archaeological Priority Area includes three post-medieval cemeteries and burial grounds. These are St Patricks Catholic Cemetery, St Peter’s in the Forest churchyard and Queens Road Cemetery. The sites are scattered acros",4629.52154541016,278.383435057527
270,Archaeological Priority Area - Tier II,77520,9b370e7d-d47d-4745-8adb-e5ac0d4e826e, ,"Summary and Definition    This Archaeological Priority Area includes three post-medieval cemeteries and burial grounds. These are St Patricks Catholic Cemetery, St Peter’s in the Forest churchyard and Queens Road Cemetery. The sites are scattered acros",93119.1618423462,1233.7579319987
271,Archaeological Priority Area - Tier II,77520,9b370e7d-d47d-4745-8adb-e5ac0d4e826e, ,"Summary and Definition    This Archaeological Priority Area includes three post-medieval cemeteries and burial grounds. These are St Patricks Catholic Cemetery, St Peter’s in the Forest churchyard and Queens Road Cemetery. The sites are scattered acros",45343.5556793213,996.533935141562
272,Archaeological Priority Area - Tier I,209715,00172804-7534-45a0-beee-22c2c2edabfa, ," p  strong Summary and Definition /strong  /p 

 p Richmond Park was initially created as a royal Hunting Park, emparked by Charles I and adapted by subsequent monarchs. It has functioned as a public open space since the mid-19th century. The Richmond Pa",9551437.90987396,12667.1197835795
273,Archaeological Priority Area - Tier II,209740,1642ce70-8595-4d5e-8c8b-2077de298e0e, ," p  strong Summary and Definition  /strong  /p 

 p East Sheen Common is an area of undeveloped open land of particular interest because of its association with Richmond Park, and the royal palaces at Richmond and Kew. The area is classified as Tier 2 as",220248.774597168,2622.2536149446
274,Archaeological Priority Area,76634,3cb39add-3e52-426d-b366-24e006bf4563, ,Archaeological priority area surrounding possible Saxon settlement,58026.9817504883,1275.42472083367
275,Archaeological Priority Area - Tier II,76611,3ab5ddb2-5df0-422f-8c3e-02b5e12fd090, ,Summary and definition  The  Archaeological  Priority  Area  covers  nine  post-medieval  burial  grounds  and  cemeteries within London Borough of Bromley. The APA has been classed as Tier 2 as  it contains 18th-and 19th-ce,3908.18236541748,250.214957901256
276,Archaeological Priority Area - Tier II,77145,741a755c-716e-4835-9748-c0f143d5f265, ,7.5.1 The APA contains the historic settlement of Crouch End as depicted on John Rocque’s 1746  map of London. The settlement is first referred to in 1465 and it appears to have developed  around the intersection of ,45284.203125,1104.9873257588
277,Archaeological Priority Area,76432,27f1c127-5017-4497-aaa1-d6f317f22e9b, ,"The earliest activity within the APA is represented by some Mesolithic flints found at prospect park, in the north of the APA.  Work here also found features containing late Neolithic pottery.  More activity was recorded dating to the middle Bronze Age,",570707.612747192,4128.24477985216
278,Archaeological Priority Area - Tier I,77750,b560b0b1-cc39-4142-a253-f37b56d9cd47, ,"3.1	The underlying geology of the area is the Harwich Formation (sand and gravel), and within the woodlands, although outside of the APA, there is a Geological Site of Special Scientific Interest. This SSSI, known as the Abbey Wood SSSI, demarks a fossil",8369.99243927002,366.116018618782
279,Archaeological Priority Area,76354,1e63db5f-12f2-41dc-8164-e4daec4daf76, ,19th century of interest to collectors and historians.,573.056198120117,95.5663801846275
280,Archaeological Priority Area - Tier II,77898,c452afa0-6168-4311-b748-0ec579874a58, ,Summary and Definition  	The Mere Bank Archaeological Priority Area covers an area between Purley Way and the borough boundary with Sutton.  The Mere Bank was a raised earthwork or dyke which ran in a north south direction between Waddon and Purley and p,618226.625061035,5899.37054749995
281,Archaeological Priority Area,76227,0f620831-1721-4439-853e-7189e8fa6952, ,Medieval - Early Post Medieval moated manor site.,11082.1401443481,438.06955914556
282,Archaeological Priority Area - Tier II,77313,84905b4d-77f5-4bf0-ba08-88e5d4273660, ,Summary and Definition  7.2.1 The Archaeological Priority Area covers the Grade II registered park and garden of Finsbury  Park. The parkland was laid out in the 19th  century on the  site of the  12th  century  Brownswo,426273.185394287,2890.40929360781
283,Archaeological Priority Area - Tier II,77313,84905b4d-77f5-4bf0-ba08-88e5d4273660, ,Summary and Definition  7.2.1 The Archaeological Priority Area covers the Grade II registered park and garden of Finsbury  Park. The parkland was laid out in the 19th  century on the  site of the  12th  century  Brownswo,30481.9209671021,769.021948658313
284,Archaeological Priority Area,78088,d676d677-5408-4c3d-afe6-4b77ad1814fb, ,Bedford Manor House: Medieval - Post Medieval Site,64680.6881408691,1114.22890173695
285,Archaeological Priority Area,76950,5f5aed16-4ef8-4aac-9a07-b943a14873ed, ,"Within the APA itself there are no records of prehistoric finds. However, extensive quarrying in the surrounding area has revealed evidence of settlement activity. Immediately to the west of the APA, multiple phases of work at RMC land and Wall Farm, nor",497070.65574646,5240.38034684092
286,Archaeological Priority Area - Tier I,209693,11abc97f-204f-4531-9aa1-4e71a54ee3b4, ," p  strong Summary and Definition  /strong  /p 

 p The APA covers the buried remains of a medieval charterhouse founded in 1414 by Henry V, re-founded in 1556-9, and then repurposed and demolished from 1660 for royal use. Shene Charterhouse was the late",112715.866340637,1363.91163307616
287,Archaeological Priority Area - Tier I,77525,9bfda9a5-9e9f-406e-babb-7be0890bc67a, ,Summary and Definition  The APA covers the high-ground of the spur and bell barrow on Parliament Hill. Parliament Hill tumulus is a distinctive feature in the landscape of the Borough of Camden and remains a largely unexplored and well preserved archaeol,27715.0611495972,590.249653572306
288,Archaeological Priority Area,77377,8b644456-55f3-48c1-9bd2-82924645a039, ,Medieval - Early Post Medieval moated manor site.,26097.9664535522,746.020769094683
289,Archaeological Priority Area - Tier II,76352,1e5b6a29-b3ad-4e59-b4b1-6d806e53d9ec, ,Summary and Definition    7.24.1 The Archaeological Priority Area covers the proposed location of the medieval Hospital of St  Lawrence.     7.24.2 The APA has been included at Tier 2 as it has the potential to contain a,10496.4240188599,518.155551093371
290,Archaeological Priority Area,76800,4ffb6abe-5716-4bf9-b2d9-32667d6f01da, ,Recommendation  Boundary of present Archaeological Priority Area should be maintained.  The only possible change would be to exclude the western and central area of Greenwich Reach that has recently been archaeologically investigated.  However the foresh,507280.338912964,3341.36117574883
291,Archaeological Priority Area - Tier I,77865,c1631ced-e5f0-479b-9a21-fce529999030, ,"Area 1 is east of historic Erith with prehistoric material, particularly flint tools, have been recovered throughout this area.  	The area was exploited in the Neolithic and Bronze Ages and evidence of human occupation and settlement in these periods is",385061.908912659,2622.7834080373
292,Archaeological Priority Area - Tier I,77392,8dbce01c-0811-47d5-b9b0-26f0bdc3786f, ,Summary and Definition    The Archaeological Priority Area covers Down House and its associated gardens which  were occupied by Charles Darwin and his family between 1842 and 1882. The APA has  been included at Tier 1 d,27730.4033355713,1633.32543151581
293,Archaeological Priority Area,78112,d9049d39-64a8-4a0a-b8f5-e31d0ff0c508, ,Archaeological priority area surrounding medieval moated site.,56203.656036377,954.66300974649
294,Archaeological Priority Area - Tier I,77405,8f67ed2a-e172-4650-802f-3c4541bf7f85, ,City of Westminster APA 1.3: Park Crescent West Ice Well  Summary and Definition  	The APA covers the site of an 18th century ice well which became one of the first to be used for commercial purposes.  It is located to the rear of buildings on Park Cresc,677.187614440918,123.115977772889
295,Archaeological Priority Area - Tier I,78081,d59a4024-8347-414d-ad42-9b71f30011ca, ,"4.1	This Archaeological Priority Area is centred upon the Scheduled Ancient Monument of Howbury Moated Manor, and encompasses several associated and later buildings.   4.2	The APA is situated within the Crayford Marshes and is on low-lying ground, at c.2",50564.4947052002,996.271961586897
296,Archaeological Priority Area,76823,52ef86b9-a5d3-476b-a81f-45c3c6adc854, ,"Recommendation  Boundary of present Archaeological Priority Area should be changed to exclude the area about Blackheath Road east of line represented by Ditch Alley., This ‘C’ shaped area has the River Ravensbourne defining its western boundary.  The",167812.223045349,3747.907649165
297,Archaeological Priority Area - Tier II,77139,73a2aa61-5ee1-4d8d-9677-d7ccb6f23a2f, ,Wandsworth APA 2.16: Wimbledon Common  Summary and Definition  	The Wimbledon Common APA covers the area of the Common that is within the London Borough of Wandsworth.  It is bounded by Kingston Road to the north and Wimbledon Parkside to the east.  The,1062053.05684662,6227.43033823723
298,Archaeological Priority Area,76580,374193ef-98e0-49ea-ba5e-71eed463a162, ,"There is currently evidence for limited activity in the area during the prehistoric periods. A Mesolithic to late Neolithic flint scatter was recorded at Long Lane to the east of the APA, along with late Iron Age/Romano-British activity. To the south of",177119.875236511,2195.47898143623
299,Archaeological Priority Area,77203,79cf3ada-a204-47f3-9ba3-66bdfe6a487a, ,"Reddens Court School is thought to be the site of a house named 'Reddens Court', which was built after 1618 on the old Squirrels Heath Road. It took the name after the manor (MLO26423), which was previously referred to as Reddens Court, changed its name",9560.00694274902,385.378540449338
300,Archaeological Priority Area - Tier II,76414,2571a480-96e1-4374-8bf2-33fac34dc2bf, ,"Summary and Definition  	The Plashet Archaeological Priority Area covers the settlement of Plashet, the two main components of which were a country house and farm.  It is classified as a Tier 2 APA because it was a historic settlement with medieval origi",89828.286277771,1302.82813695715
301,Archaeological Priority Area - Tier II,78199,e35880d5-aefe-409a-8640-a75a1dd56e79, ,Summary and definition  The Archaeological Priority Area contains the historic core of Chelsfield as shown on  the 1798 Ordnance Surveyors Drawings of the area. The APA contains the Grade II*  listed Church of St Martin ,430395.970733643,3057.30841439402
302,Archaeological Priority Area - Tier II,209746,d0e193cf-6f4f-4571-a3bd-2866fd2a7d0b, ," p  strong Summary and Definition  /strong  /p 

 p The Petersham Archaeological Priority Area covers the core of the historic settlement depicted on John Rocque rsquo;s map of 1746. nbsp; It is classified as Tier 2 because it is a historic settlement wi",103911.929740906,1995.8568837716
303,Archaeological Priority Area - Tier II,77326,865fce6b-75e6-4780-8243-35a1be90d2bc, ,"Summary and Definition  The Archaeological Priority Area of Belsize Manor includes the complex of the former medieval moated enclosure, farm and house. The enclosure around the manor and the area of later gardens comprise the APA boundaries from Lancaste",105333.756095886,1349.07850543198
304,Archaeological Priority Area,76884,594ec370-a948-4246-846f-f4693946243f, ,"Briefly the site of a Pre-monstratensian abbey which was founded in 1182, but moved to Bayham, Hampshire in 1199-1208.  Excavation has revealed part of the refectory and artefacts of 14th to 18th century dates.  This suggests a later use of the abbey bui",54869.88256073,990.125313497258
305,Archaeological Priority Area - Tier I,77593,a46fdca7-6b12-44d4-9689-672006647c5f, ,Summary and Definition    The  Archaeological  Priority  Area  covers  4  churches  and  their  associated  burial  grounds. The APA is classed at Tier 1 as it covers burial grounds of medieval or earlier  origin. The bur,1627.90691375732,168.311112397303
306,Archaeological Priority Area,77601,a4e775c9-d772-439d-a449-40b3ca476761, ,Known to have been in use from c. 1500 to the mid-17th century.,25415.4798965454,741.886181029974
307,Archaeological Priority Area,76969,6480b28f-b51f-4973-a881-3891c874ce7d, ,Moated site of the early 13th Century demesne house of St Paul’s Cathedral Estate.,7077.9568939209,359.599633388797
308,Archaeological Priority Area,78314,f0287113-dccb-41c4-8b89-1eca99358e7f, ,"Eltham Lodge sits at the north end of what is now the Royal Blackheath Golf Club, Eltham.  The area of the Lodge occupies a position along the 50m contour consisting of sand and pebble known as Harwich Formation.  Eltham Lodge was part of the royal palac",27632.9428329468,673.649571146275
309,Archaeological Priority Area,78314,f0287113-dccb-41c4-8b89-1eca99358e7f, ,"Eltham Lodge sits at the north end of what is now the Royal Blackheath Golf Club, Eltham.  The area of the Lodge occupies a position along the 50m contour consisting of sand and pebble known as Harwich Formation.  Eltham Lodge was part of the royal palac",455278.189979553,3094.06758659909
310,Archaeological Priority Area,77565,a0d5cca4-dd44-4ad5-869c-ec79753aced0, ,Holy Cross Church was rebuilt in the 15th Century. Greenford Magna dates from 13th Century or earlier. Manor House west of the church was first mentioned in the 16th Century.,43069.8192214966,909.901458384549
311,Archaeological Priority Area,78227,e5e1808b-6f59-4599-9d3d-8b34671e1035, ,Medieval - Early Post Medieval moated site.,60423.9853210449,1069.18225307978
312,Archaeological Priority Area,77166,761cfef8-53ba-497d-ada2-dad7d9cfa620, ,Southend takes its name from its position at the south end of the parish.  The small agricultural community appears to have always focussed on the Lower and Upper Mills on the Ravensbourne.  There is probably good potential for the survival of early mill,161558.700378418,2297.32082657799
313,Archaeological Priority Area - Tier II,77955,c942a30d-4cea-4861-bd0a-5173227b96af, ,"Summary and Definition  The Little Ilford Archaeological Priority Area covers the historic settlement of Little Ilford, the two main components of which were a church and manor house.  It is classified as Tier 2 because it is a historic settlement dating",177785.623817444,1920.53006000795
314,Archaeological Priority Area,78337,f18289c4-b4b7-4b3b-a87a-9520ed383112, ,"Recommendation  It is recommended that the designated area is either left as is or revised to exclude the quarried element., This archaeological area is centred upon Maryon Park but extends to Woodland Terrace in the south and Pound Park Road to the west",155177.102424622,1692.24336776743
315,Archaeological Priority Area - Tier II,77325,86178e9e-0f4a-46fc-91d9-c97025243f86, ,Tower Hamlets APA 2.5: Victoria Park  Summary and Definition  The APA covers the Registered Park and Garden of Victoria Park.  It is bordered by the earlier Regent’s Canal and Hertford Union Canal to the west and south and by the borough boundary with,885751.731277466,5050.91365414304
316,Archaeological Priority Area,77813,bab68cbc-2e1d-4fac-8a20-67b83652dfe0, ,The historic core of Willesden.,100265.52973938,1228.7284370879
